crime_place,crime_cnt
강릉,731
거제,823
경산,1087
경주,1026
고양,2404
광명,1065
광주_광산,1095
광주_남구,615
광주_동구,603
광주_북구,1444
광주_서구,1193
구리,833
구미,1535
군산,933
군포,658
기타 도시,15603
김천,416
김해,2207
남양주,1507
논산,448
대구_남구,726
대구_달서,2058
대구_달성군,631
대구_동구,1265
대구_북구,1340
대구_서구,689
대구_수성,1099
대구_중구,1482
대전_대덕,646
대전_동구,1178
대전_서구,1789
대전_유성,1026
대전_중구,1225
도시이외,9511
목포,1171
범죄분류,절도
부산_강서,478
부산_금정,1031
부산_기장군,499
부산_남구,936
부산_동구,724
부산_동래,936
부산_부산진,2443
부산_북구,807
부산_사상,1023
부산_사하,1019
부산_서구,609
부산_수영,803
부산_연제,887
부산_영도,353
부산_중구,705
부산_해운대,1307
부천,3710
서산,471
서울_강남,2986
서울_강동,1654
서울_강북,1228
서울_강서,2053
서울_관악,2260
서울_광진,1870
서울_구로,1917
서울_금천,1132
서울_노원,1505
서울_도봉,791
서울_동대문,1542
서울_동작,1333
서울_마포,2215
서울_서대문,1217
서울_서초,2289
서울_성동,976
서울_성북,1087
서울_송파,2413
서울_양천,1483
서울_영등포,2418
서울_용산,1020
서울_은평,1566
서울_종로,1519
서울_중구,2205
서울_중랑,1659
성남,3252
수원,5199
순천,796
시흥,1769
아산,1298
안동,460
안산,2974
안양,1748
양산,1281
여수,928
용인,2346
울산_남구,1042
울산_동구,513
울산_북구,407
울산_울주군,617
울산_중구,637
원주,1306
의정부,1604
이천,829
익산,1098
인천_강화군,169
인천_계양,733
인천_남동,1688
인천_동구,190
인천_미추홀,1754
인천_부평,2390
인천_서구,1331
인천_연수,1017
인천_옹진군,30
인천_중구,848
전주,2211
정읍,364
제주,2328
제천,393
진주,1609
창원,3705
천안,3340
청주,3437
춘천,879
충주,836
파주,942
평택,2188
포항,2002
강릉,5
거제,1
경산,0
경주,1
고양,5
광명,1
광주_광산,1
광주_남구,2
광주_동구,1
광주_북구,1
광주_서구,3
구리,1
구미,6
군산,0
군포,1
기타 도시,100
김천,1
김해,5
남양주,10
논산,0
대구_남구,1
대구_달서,5
대구_달성군,3
대구_동구,3
대구_북구,1
대구_서구,0
대구_수성,1
대구_중구,4
대전_대덕,2
대전_동구,1
대전_서구,4
대전_유성,7
대전_중구,1
도시이외,13
목포,1
범죄분류,장물
부산_강서,3
부산_금정,8
부산_기장군,6
부산_남구,10
부산_동구,83
부산_동래,7
부산_부산진,24
부산_북구,10
부산_사상,9
부산_사하,11
부산_서구,5
부산_수영,5
부산_연제,7
부산_영도,2
부산_중구,23
부산_해운대,19
부천,9
서산,0
서울_강남,26
서울_강동,3
서울_강북,9
서울_강서,2
서울_관악,7
서울_광진,7
서울_구로,0
서울_금천,1
서울_노원,8
서울_도봉,3
서울_동대문,7
서울_동작,3
서울_마포,8
서울_서대문,2
서울_서초,6
서울_성동,4
서울_성북,6
서울_송파,8
서울_양천,4
서울_영등포,6
서울_용산,5
서울_은평,4
서울_종로,18
서울_중구,11
서울_중랑,4
성남,11
수원,21
순천,3
시흥,2
아산,1
안동,0
안산,8
안양,5
양산,3
여수,0
용인,4
울산_남구,4
울산_동구,1
울산_북구,5
울산_울주군,1
울산_중구,1
원주,12
의정부,2
이천,3
익산,2
인천_강화군,0
인천_계양,3
인천_남동,40
인천_동구,3
인천_미추홀,9
인천_부평,25
인천_서구,23
인천_연수,3
인천_옹진군,0
인천_중구,75
전주,2
정읍,0
제주,6
제천,0
진주,1
창원,10
천안,11
청주,10
춘천,1
충주,2
파주,2
평택,11
포항,4
강릉,1052
거제,1429
경산,1056
경주,2738
고양,5549
광명,1516
광주_광산,2146
광주_남구,843
광주_동구,954
광주_북구,1984
광주_서구,2586
구리,1136
구미,3451
군산,2108
군포,1191
기타 도시,35666
김천,627
김해,4374
남양주,3085
논산,792
대구_남구,1125
대구_달서,3541
대구_달성군,821
대구_동구,2322
대구_북구,2328
대구_서구,1223
대구_수성,2695
대구_중구,1192
대전_대덕,1183
대전_동구,1852
대전_서구,2909
대전_유성,1734
대전_중구,1667
도시이외,15721
목포,1383
범죄분류,사기
부산_강서,985
부산_금정,1611
부산_기장군,962
부산_남구,2184
부산_동구,1268
부산_동래,1786
부산_부산진,3108
부산_북구,2185
부산_사상,2311
부산_사하,1837
부산_서구,977
부산_수영,821
부산_연제,2017
부산_영도,595
부산_중구,949
부산_해운대,2867
부천,6285
서산,1031
서울_강남,8364
서울_강동,1742
서울_강북,1879
서울_강서,2744
서울_관악,2698
서울_광진,1742
서울_구로,2231
서울_금천,1817
서울_노원,1724
서울_도봉,1241
서울_동대문,1857
서울_동작,1496
서울_마포,1922
서울_서대문,1526
서울_서초,4997
서울_성동,1695
서울_성북,1443
서울_송파,3460
서울_양천,1627
서울_영등포,3323
서울_용산,1503
서울_은평,2027
서울_종로,1920
서울_중구,2637
서울_중랑,1668
성남,5466
수원,8303
순천,1403
시흥,2742
아산,1453
안동,875
안산,4420
안양,2823
양산,1918
여수,1434
용인,4135
울산_남구,2632
울산_동구,876
울산_북구,775
울산_울주군,1231
울산_중구,1348
원주,2180
의정부,2612
이천,1299
익산,1509
인천_강화군,246
인천_계양,1548
인천_남동,2986
인천_동구,339
인천_미추홀,2765
인천_부평,2671
인천_서구,2987
인천_연수,1553
인천_옹진군,77
인천_중구,1369
전주,3576
정읍,501
제주,3242
제천,803
진주,1875
창원,6611
천안,4352
청주,5135
춘천,1382
충주,1179
파주,2726
평택,4130
포항,3065
강릉,189
거제,240
경산,279
경주,299
고양,1759
광명,309
광주_광산,496
광주_남구,142
광주_동구,240
광주_북구,500
광주_서구,366
구리,229
구미,276
군산,201
군포,214
기타 도시,5183
김천,106
김해,531
남양주,620
논산,98
대구_남구,195
대구_달서,558
대구_달성군,121
대구_동구,466
대구_북구,396
대구_서구,187
대구_수성,380
대구_중구,432
대전_대덕,165
대전_동구,202
대전_서구,445
대전_유성,210
대전_중구,255
도시이외,2128
목포,280
범죄분류,횡령
부산_강서,134
부산_금정,227
부산_기장군,165
부산_남구,248
부산_동구,177
부산_동래,288
부산_부산진,874
부산_북구,206
부산_사상,159
부산_사하,252
부산_서구,118
부산_수영,176
부산_연제,235
부산_영도,84
부산_중구,221
부산_해운대,417
부천,1180
서산,139
서울_강남,1696
서울_강동,459
서울_강북,389
서울_강서,745
서울_관악,841
서울_광진,667
서울_구로,666
서울_금천,382
서울_노원,572
서울_도봉,319
서울_동대문,669
서울_동작,581
서울_마포,961
서울_서대문,467
서울_서초,1190
서울_성동,499
서울_성북,361
서울_송파,1513
서울_양천,452
서울_영등포,931
서울_용산,611
서울_은평,473
서울_종로,687
서울_중구,718
서울_중랑,570
성남,1255
수원,1587
순천,290
시흥,589
아산,289
안동,121
안산,1006
안양,753
양산,221
여수,305
용인,868
울산_남구,357
울산_동구,96
울산_북구,87
울산_울주군,142
울산_중구,131
원주,278
의정부,714
이천,184
익산,194
인천_강화군,76
인천_계양,319
인천_남동,721
인천_동구,81
인천_미추홀,855
인천_부평,731
인천_서구,660
인천_연수,297
인천_옹진군,11
인천_중구,510
전주,523
정읍,66
제주,583
제천,94
진주,212
창원,864
천안,866
청주,712
춘천,195
충주,165
파주,491
평택,599
포항,305
강릉,20
거제,30
경산,16
경주,20
고양,80
광명,20
광주_광산,51
광주_남구,20
광주_동구,29
광주_북구,38
광주_서구,33
구리,13
구미,39
군산,22
군포,15
기타 도시,721
김천,11
김해,64
남양주,40
논산,9
대구_남구,7
대구_달서,45
대구_달성군,10
대구_동구,22
대구_북구,30
대구_서구,29
대구_수성,46
대구_중구,12
대전_대덕,9
대전_동구,9
대전_서구,36
대전_유성,41
대전_중구,17
도시이외,840
목포,17
범죄분류,배임
부산_강서,31
부산_금정,42
부산_기장군,18
부산_남구,40
부산_동구,16
부산_동래,33
부산_부산진,49
부산_북구,21
부산_사상,26
부산_사하,26
부산_서구,11
부산_수영,19
부산_연제,39
부산_영도,11
부산_중구,33
부산_해운대,61
부천,63
서산,17
서울_강남,239
서울_강동,45
서울_강북,19
서울_강서,48
서울_관악,26
서울_광진,25
서울_구로,52
서울_금천,36
서울_노원,26
서울_도봉,19
서울_동대문,34
서울_동작,36
서울_마포,57
서울_서대문,21
서울_서초,171
서울_성동,36
서울_성북,24
서울_송파,95
서울_양천,42
서울_영등포,88
서울_용산,36
서울_은평,28
서울_종로,47
서울_중구,77
서울_중랑,22
성남,87
수원,80
순천,25
시흥,29
아산,19
안동,10
안산,42
안양,43
양산,21
여수,41
용인,111
울산_남구,44
울산_동구,16
울산_북구,6
울산_울주군,31
울산_중구,13
원주,41
의정부,37
이천,15
익산,22
인천_강화군,8
인천_계양,11
인천_남동,38
인천_동구,9
인천_미추홀,43
인천_부평,42
인천_서구,43
인천_연수,23
인천_옹진군,6
인천_중구,18
전주,66
정읍,14
제주,78
제천,20
진주,33
창원,108
천안,96
청주,75
춘천,16
충주,13
파주,34
평택,60
포항,43
강릉,316
거제,226
경산,358
경주,277
고양,984
광명,325
광주_광산,355
광주_남구,232
광주_동구,189
광주_북구,380
광주_서구,357
구리,337
구미,516
군산,305
군포,229
기타 도시,5926
김천,154
김해,676
남양주,655
논산,146
대구_남구,243
대구_달서,587
대구_달성군,189
대구_동구,436
대구_북구,423
대구_서구,312
대구_수성,354
대구_중구,263
대전_대덕,220
대전_동구,253
대전_서구,559
대전_유성,237
대전_중구,211
도시이외,3184
목포,443
범죄분류,손괴
부산_강서,100
부산_금정,237
부산_기장군,126
부산_남구,336
부산_동구,182
부산_동래,285
부산_부산진,571
부산_북구,283
부산_사상,251
부산_사하,320
부산_서구,132
부산_수영,219
부산_연제,237
부산_영도,108
부산_중구,148
부산_해운대,290
부천,1178
서산,256
서울_강남,667
서울_강동,448
서울_강북,437
서울_강서,584
서울_관악,459
서울_광진,363
서울_구로,463
서울_금천,322
서울_노원,512
서울_도봉,275
서울_동대문,304
서울_동작,401
서울_마포,408
서울_서대문,361
서울_서초,468
서울_성동,284
서울_성북,284
서울_송파,648
서울_양천,362
서울_영등포,638
서울_용산,339
서울_은평,442
서울_종로,353
서울_중구,339
서울_중랑,543
성남,920
수원,1609
순천,331
시흥,815
아산,482
안동,165
안산,1103
안양,591
양산,284
여수,392
용인,900
울산_남구,438
울산_동구,224
울산_북구,163
울산_울주군,184
울산_중구,249
원주,440
의정부,639
이천,358
익산,339
인천_강화군,86
인천_계양,346
인천_남동,640
인천_동구,83
인천_미추홀,581
인천_부평,728
인천_서구,535
인천_연수,288
인천_옹진군,15
인천_중구,176
전주,411
정읍,82
제주,945
제천,145
진주,391
창원,1042
천안,857
청주,1091
춘천,311
충주,265
파주,451
평택,924
포항,629
강릉,3
거제,4
경산,3
경주,3
고양,11
광명,1
광주_광산,2
광주_남구,3
광주_동구,3
광주_북구,6
광주_서구,4
구리,1
구미,5
군산,7
군포,4
기타 도시,110
김천,2
김해,2
남양주,14
논산,7
대구_남구,4
대구_달서,10
대구_달성군,6
대구_동구,8
대구_북구,6
대구_서구,0
대구_수성,7
대구_중구,1
대전_대덕,0
대전_동구,3
대전_서구,4
대전_유성,6
대전_중구,5
도시이외,77
목포,6
범죄분류,살인
부산_강서,1
부산_금정,10
부산_기장군,1
부산_남구,5
부산_동구,0
부산_동래,4
부산_부산진,8
부산_북구,1
부산_사상,9
부산_사하,10
부산_서구,1
부산_수영,3
부산_연제,3
부산_영도,4
부산_중구,3
부산_해운대,3
부천,15
서산,1
서울_강남,9
서울_강동,6
서울_강북,6
서울_강서,8
서울_관악,12
서울_광진,4
서울_구로,10
서울_금천,6
서울_노원,4
서울_도봉,1
서울_동대문,7
서울_동작,5
서울_마포,2
서울_서대문,2
서울_서초,5
서울_성동,6
서울_성북,3
서울_송파,8
서울_양천,7
서울_영등포,10
서울_용산,3
서울_은평,3
서울_종로,4
서울_중구,5
서울_중랑,10
성남,4
수원,16
순천,4
시흥,3
아산,7
안동,5
안산,10
안양,6
양산,4
여수,3
용인,9
울산_남구,3
울산_동구,3
울산_북구,1
울산_울주군,4
울산_중구,8
원주,2
의정부,5
이천,2
익산,11
인천_강화군,2
인천_계양,5
인천_남동,11
인천_동구,1
인천_미추홀,10
인천_부평,6
인천_서구,6
인천_연수,8
인천_옹진군,0
인천_중구,2
전주,19
정읍,1
제주,17
제천,3
진주,4
창원,20
천안,14
청주,14
춘천,5
충주,5
파주,5
평택,8
포항,5
강릉,4
거제,2
경산,3
경주,5
고양,9
광명,5
광주_광산,4
광주_남구,1
광주_동구,4
광주_북구,16
광주_서구,4
구리,3
구미,4
군산,7
군포,2
기타 도시,91
김천,3
김해,9
남양주,7
논산,0
대구_남구,2
대구_달서,8
대구_달성군,2
대구_동구,5
대구_북구,3
대구_서구,7
대구_수성,4
대구_중구,4
대전_대덕,1
대전_동구,8
대전_서구,8
대전_유성,2
대전_중구,6
도시이외,37
목포,8
범죄분류,강도
부산_강서,0
부산_금정,12
부산_기장군,1
부산_남구,2
부산_동구,10
부산_동래,6
부산_부산진,16
부산_북구,3
부산_사상,4
부산_사하,4
부산_서구,4
부산_수영,4
부산_연제,3
부산_영도,5
부산_중구,4
부산_해운대,5
부천,12
서산,1
서울_강남,6
서울_강동,14
서울_강북,2
서울_강서,4
서울_관악,11
서울_광진,6
서울_구로,4
서울_금천,12
서울_노원,3
서울_도봉,6
서울_동대문,12
서울_동작,1
서울_마포,2
서울_서대문,5
서울_서초,5
서울_성동,9
서울_성북,3
서울_송파,9
서울_양천,5
서울_영등포,5
서울_용산,6
서울_은평,1
서울_종로,8
서울_중구,6
서울_중랑,4
성남,14
수원,22
순천,1
시흥,15
아산,12
안동,1
안산,15
안양,7
양산,6
여수,3
용인,7
울산_남구,14
울산_동구,2
울산_북구,2
울산_울주군,2
울산_중구,7
원주,8
의정부,4
이천,1
익산,2
인천_강화군,0
인천_계양,5
인천_남동,12
인천_동구,0
인천_미추홀,10
인천_부평,15
인천_서구,5
인천_연수,7
인천_옹진군,0
인천_중구,6
전주,12
정읍,1
제주,14
제천,6
진주,3
창원,10
천안,13
청주,22
춘천,4
충주,2
파주,4
평택,12
포항,4
강릉,11
거제,2
경산,7
경주,8
고양,26
광명,5
광주_광산,5
광주_남구,5
광주_동구,6
광주_북구,15
광주_서구,11
구리,8
구미,14
군산,11
군포,4
기타 도시,127
김천,4
김해,7
남양주,15
논산,8
대구_남구,10
대구_달서,9
대구_달성군,7
대구_동구,11
대구_북구,8
대구_서구,6
대구_수성,9
대구_중구,2
대전_대덕,5
대전_동구,9
대전_서구,14
대전_유성,7
대전_중구,13
도시이외,125
목포,13
범죄분류,방화
부산_강서,2
부산_금정,4
부산_기장군,4
부산_남구,7
부산_동구,5
부산_동래,8
부산_부산진,15
부산_북구,5
부산_사상,13
부산_사하,7
부산_서구,2
부산_수영,3
부산_연제,5
부산_영도,6
부산_중구,4
부산_해운대,7
부천,16
서산,8
서울_강남,8
서울_강동,13
서울_강북,4
서울_강서,24
서울_관악,18
