,crime_cnt,crime_type,crime_place
0,26,살인,"아파트, 연립 다세대"
1,41,살인,단독주택
2,29,살인,노상
3,4,살인,상점
4,4,살인,"숙박업소, 목욕탕"
5,12,살인,유흥 접객업소
6,6,살인,사무실
7,1,살인,"역, 대합실"
8,0,살인,교통수단
9,3,살인,유원지 
10,0,살인,학교
11,0,살인,금융기관
12,26,살인,기타
13,37,강도,"아파트, 연립 다세대"
14,39,강도,단독주택
15,141,강도,노상
16,69,강도,상점
17,16,강도,"숙박업소, 목욕탕"
18,37,강도,유흥 접객업소
19,17,강도,사무실
20,2,강도,"역, 대합실"
21,3,강도,교통수단
22,3,강도,유원지 
23,2,강도,학교
24,0,강도,금융기관
25,54,강도,기타
26,412,강간.추행,"아파트, 연립 다세대"
27,503,강간.추행,단독주택
28,1150,강간.추행,노상
29,104,강간.추행,상점
30,775,강간.추행,"숙박업소, 목욕탕"
31,498,강간.추행,유흥 접객업소
32,116,강간.추행,사무실
33,211,강간.추행,"역, 대합실"
34,685,강간.추행,교통수단
35,65,강간.추행,유원지 
36,38,강간.추행,학교
37,2,강간.추행,금융기관
38,828,강간.추행,기타
39,5001,절도,"아파트, 연립 다세대"
40,5922,절도,단독주택
41,14183,절도,노상
42,6909,절도,상점
43,3779,절도,"숙박업소, 목욕탕"
44,5093,절도,유흥 접객업소
45,1536,절도,사무실
46,665,절도,"역, 대합실"
47,1261,절도,교통수단
48,774,절도,유원지 
49,1018,절도,학교
50,1891,절도,금융기관
51,13553,절도,기타
52,3797,폭력,"아파트, 연립 다세대"
53,5091,폭력,단독주택
54,31370,폭력,노상
55,1705,폭력,상점
56,819,폭력,"숙박업소, 목욕탕"
57,7018,폭력,유흥 접객업소
58,1981,폭력,사무실
59,721,폭력,"역, 대합실"
60,877,폭력,교통수단
61,636,폭력,유원지 
62,299,폭력,학교
63,99,폭력,금융기관
64,11009,폭력,기타
65,20,살인,"아파트, 연립 다세대"
66,39,살인,단독주택
67,37,살인,노상
68,1,살인,상점
69,3,살인,"숙박업소, 목욕탕"
70,5,살인,유흥 접객업소
71,3,살인,사무실
72,0,살인,"역, 대합실"
73,0,살인,교통수단
74,4,살인,유원지 
75,1,살인,학교
76,0,살인,금융기관
77,50,살인,기타
78,20,강도,"아파트, 연립 다세대"
79,23,강도,단독주택
80,70,강도,노상
81,34,강도,상점
82,15,강도,"숙박업소, 목욕탕"
83,14,강도,유흥 접객업소
84,8,강도,사무실
85,0,강도,"역, 대합실"
86,3,강도,교통수단
87,1,강도,유원지 
88,0,강도,학교
89,3,강도,금융기관
90,85,강도,기타
91,283,강간.추행,"아파트, 연립 다세대"
92,346,강간.추행,단독주택
93,924,강간.추행,노상
94,73,강간.추행,상점
95,395,강간.추행,"숙박업소, 목욕탕"
96,342,강간.추행,유흥 접객업소
97,91,강간.추행,사무실
98,181,강간.추행,"역, 대합실"
99,812,강간.추행,교통수단
100,51,강간.추행,유원지 
101,46,강간.추행,학교
102,1,강간.추행,금융기관
103,1904,강간.추행,기타
104,1866,절도,"아파트, 연립 다세대"
105,2498,절도,단독주택
106,11407,절도,노상
107,3903,절도,상점
108,952,절도,"숙박업소, 목욕탕"
109,2204,절도,유흥 접객업소
110,994,절도,사무실
111,407,절도,"역, 대합실"
112,1026,절도,교통수단
113,424,절도,유원지 
114,397,절도,학교
115,1273,절도,금융기관
116,27956,절도,기타
117,2850,폭력,"아파트, 연립 다세대"
118,3502,폭력,단독주택
119,25110,폭력,노상
120,805,폭력,상점
121,273,폭력,"숙박업소, 목욕탕"
122,2439,폭력,유흥 접객업소
123,1362,폭력,사무실
124,255,폭력,"역, 대합실"
125,332,폭력,교통수단
126,471,폭력,유원지 
127,196,폭력,학교
128,45,폭력,금융기관
129,27566,폭력,기타
130,12,살인,"아파트, 연립 다세대"
131,30,살인,단독주택
132,22,살인,노상
133,1,살인,상점
134,4,살인,"숙박업소, 목욕탕"
135,8,살인,유흥 접객업소
136,1,살인,사무실
137,0,살인,"역, 대합실"
138,0,살인,교통수단
139,2,살인,유원지 
140,0,살인,학교
141,1,살인,금융기관
142,65,살인,기타
143,18,강도,"아파트, 연립 다세대"
144,15,강도,단독주택
145,87,강도,노상
146,34,강도,상점
147,9,강도,"숙박업소, 목욕탕"
148,13,강도,유흥 접객업소
149,8,강도,사무실
150,0,강도,"역, 대합실"
151,0,강도,교통수단
152,2,강도,유원지 
153,0,강도,학교
154,1,강도,금융기관
155,67,강도,기타
156,284,강간.추행,"아파트, 연립 다세대"
157,395,강간.추행,단독주택
158,986,강간.추행,노상
159,95,강간.추행,상점
160,389,강간.추행,"숙박업소, 목욕탕"
161,398,강간.추행,유흥 접객업소
162,132,강간.추행,사무실
163,181,강간.추행,"역, 대합실"
164,691,강간.추행,교통수단
165,59,강간.추행,유원지 
166,33,강간.추행,학교
167,2,강간.추행,금융기관
168,2128,강간.추행,기타
169,1504,절도,"아파트, 연립 다세대"
170,2241,절도,단독주택
171,9329,절도,노상
172,4403,절도,상점
173,828,절도,"숙박업소, 목욕탕"
174,2035,절도,유흥 접객업소
175,682,절도,사무실
176,356,절도,"역, 대합실"
177,457,절도,교통수단
178,367,절도,유원지 
179,400,절도,학교
180,1081,절도,금융기관
181,21734,절도,기타
182,2839,폭력,"아파트, 연립 다세대"
183,3579,폭력,단독주택
184,24535,폭력,노상
185,852,폭력,상점
186,303,폭력,"숙박업소, 목욕탕"
187,2645,폭력,유흥 접객업소
188,1229,폭력,사무실
189,272,폭력,"역, 대합실"
190,222,폭력,교통수단
191,424,폭력,유원지 
192,203,폭력,학교
193,42,폭력,금융기관
194,26382,폭력,기타
195,21,살인,"아파트, 연립 다세대"
196,25,살인,단독주택
197,27,살인,노상
198,1,살인,상점
199,5,살인,"숙박업소, 목욕탕"
200,10,살인,유흥 접객업소
201,5,살인,사무실
202,0,살인,"역, 대합실"
203,1,살인,교통수단
204,1,살인,유원지 
205,0,살인,학교
206,0,살인,금융기관
207,46,살인,기타
208,20,강도,"아파트, 연립 다세대"
209,11,강도,단독주택
210,43,강도,노상
211,22,강도,상점
212,8,강도,"숙박업소, 목욕탕"
213,5,강도,유흥 접객업소
214,5,강도,사무실
215,1,강도,"역, 대합실"
216,0,강도,교통수단
217,1,강도,유원지 
218,0,강도,학교
219,3,강도,금융기관
220,50,강도,기타
221,319,강간.추행,"아파트, 연립 다세대"
222,413,강간.추행,단독주택
223,1061,강간.추행,노상
224,116,강간.추행,상점
225,408,강간.추행,"숙박업소, 목욕탕"
226,495,강간.추행,유흥 접객업소
227,130,강간.추행,사무실
228,242,강간.추행,"역, 대합실"
229,1105,강간.추행,교통수단
230,51,강간.추행,유원지 
231,49,강간.추행,학교
232,1,강간.추행,금융기관
233,2573,강간.추행,기타
234,1209,절도,"아파트, 연립 다세대"
235,1340,절도,단독주택
236,8255,절도,노상
237,4119,절도,상점
238,670,절도,"숙박업소, 목욕탕"
239,1809,절도,유흥 접객업소
240,564,절도,사무실
241,335,절도,"역, 대합실"
242,744,절도,교통수단
243,282,절도,유원지 
244,247,절도,학교
245,990,절도,금융기관
246,20598,절도,기타
247,2954,폭력,"아파트, 연립 다세대"
248,3303,폭력,단독주택
249,22677,폭력,노상
250,789,폭력,상점
251,346,폭력,"숙박업소, 목욕탕"
252,2758,폭력,유흥 접객업소
253,1068,폭력,사무실
254,330,폭력,"역, 대합실"
255,509,폭력,교통수단
256,419,폭력,유원지 
257,222,폭력,학교
258,30,폭력,금융기관
259,23994,폭력,기타
260,29,살인,"아파트, 연립 다세대"
261,40,살인,단독주택
262,24,살인,노상
263,3,살인,상점
264,3,살인,"숙박업소, 목욕탕"
265,8,살인,유흥 접객업소
266,6,살인,사무실
267,1,살인,"역, 대합실"
268,1,살인,교통수단
269,1,살인,유원지 
270,0,살인,학교
271,0,살인,금융기관
272,27,살인,기타
273,10,강도,"아파트, 연립 다세대"
274,16,강도,단독주택
275,42,강도,노상
276,27,강도,상점
277,10,강도,"숙박업소, 목욕탕"
278,4,강도,유흥 접객업소
279,6,강도,사무실
280,1,강도,"역, 대합실"
281,1,강도,교통수단
282,0,강도,유원지 
283,0,강도,학교
284,2,강도,금융기관
285,24,강도,기타
286,441,강간.추행,"아파트, 연립 다세대"
287,538,강간.추행,단독주택
288,978,강간.추행,노상
289,170,강간.추행,상점
290,553,강간.추행,"숙박업소, 목욕탕"
291,851,강간.추행,유흥 접객업소
292,114,강간.추행,사무실
293,280,강간.추행,"역, 대합실"
294,907,강간.추행,교통수단
295,57,강간.추행,유원지 
296,60,강간.추행,학교
297,6,강간.추행,금융기관
298,1457,강간.추행,기타
299,1907,절도,"아파트, 연립 다세대"
300,2020,절도,단독주택
301,9087,절도,노상
302,6990,절도,상점
303,1249,절도,"숙박업소, 목욕탕"
304,3231,절도,유흥 접객업소
305,721,절도,사무실
306,531,절도,"역, 대합실"
307,1097,절도,교통수단
308,613,절도,유원지 
309,296,절도,학교
310,1302,절도,금융기관
311,10131,절도,기타
312,5295,폭력,"아파트, 연립 다세대"
313,5536,폭력,단독주택
314,22241,폭력,노상
315,1445,폭력,상점
316,595,폭력,"숙박업소, 목욕탕"
317,5262,폭력,유흥 접객업소
318,1507,폭력,사무실
319,642,폭력,"역, 대합실"
320,1088,폭력,교통수단
321,481,폭력,유원지 
322,278,폭력,학교
323,65,폭력,금융기관
324,11640,폭력,기타
325,22,살인,"아파트, 연립 다세대"
326,36,살인,단독주택
327,33,살인,노상
328,0,살인,상점
329,8,살인,"숙박업소, 목욕탕"
330,6,살인,유흥 접객업소
331,9,살인,사무실
332,0,살인,"역, 대합실"
333,1,살인,교통수단
334,1,살인,유원지 
335,0,살인,학교
336,0,살인,금융기관
337,42,살인,기타
338,37,강도,"아파트, 연립 다세대"
339,36,강도,단독주택
340,92,강도,노상
341,45,강도,상점
342,10,강도,"숙박업소, 목욕탕"
343,17,강도,유흥 접객업소
344,11,강도,사무실
345,2,강도,"역, 대합실"
346,1,강도,교통수단
347,5,강도,유원지 
348,0,강도,학교
349,0,강도,금융기관
350,87,강도,기타
351,296,강간.추행,"아파트, 연립 다세대"
352,404,강간.추행,단독주택
353,1007,강간.추행,노상
354,102,강간.추행,상점
355,471,강간.추행,"숙박업소, 목욕탕"
356,364,강간.추행,유흥 접객업소
357,127,강간.추행,사무실
358,144,강간.추행,"역, 대합실"
359,694,강간.추행,교통수단
360,48,강간.추행,유원지 
361,26,강간.추행,학교
362,1,강간.추행,금융기관
363,1778,강간.추행,기타
364,2765,절도,"아파트, 연립 다세대"
365,3655,절도,단독주택
366,11931,절도,노상
367,3988,절도,상점
368,1506,절도,"숙박업소, 목욕탕"
369,2452,절도,유흥 접객업소
370,1216,절도,사무실
371,401,절도,"역, 대합실"
372,936,절도,교통수단
373,472,절도,유원지 
374,425,절도,학교
375,1482,절도,금융기관
376,28164,절도,기타
377,2551,폭력,"아파트, 연립 다세대"
378,3194,폭력,단독주택
379,26004,폭력,노상
380,933,폭력,상점
381,325,폭력,"숙박업소, 목욕탕"
382,3154,폭력,유흥 접객업소
383,1577,폭력,사무실
384,327,폭력,"역, 대합실"
385,447,폭력,교통수단
386,531,폭력,유원지 
387,228,폭력,학교
388,47,폭력,금융기관
389,26000,폭력,기타
390,25,살인,"아파트,연립다세대"
391,36,살인,단독주택
392,0,살인,고속도로
393,26,살인,노상
394,1,살인,상점
395,0,살인,"시장,노점"
396,7,살인,숙박업소목욕탕
397,9,살인,유흥접객업소
398,4,살인,사무실
399,0,살인,공장
400,0,살인,공사장광산
401,0,살인,창고
402,0,살인,"역,대합실"
403,0,살인,지하철
404,0,살인,기타교통수단내
405,0,살인,흥행장
406,2,살인,유원지
407,0,살인,학교
408,0,살인,금융기관
409,6,살인,의료기관
410,1,살인,종교기관
411,0,살인,산야
412,0,살인,해상
413,0,살인,부대
414,0,살인,구금장소
415,0,살인,공지
416,19,살인,기타
417,7,강도,"아파트,연립다세대"
418,12,강도,단독주택
419,0,강도,고속도로
420,36,강도,노상
421,22,강도,상점
422,0,강도,"시장,노점"
423,7,강도,숙박업소목욕탕
424,19,강도,유흥접객업소
425,4,강도,사무실
426,0,강도,공장
427,0,강도,공사장광산
428,0,강도,창고
429,1,강도,"역,대합실"
430,1,강도,지하철
431,2,강도,기타교통수단내
432,0,강도,흥행장
433,2,강도,유원지
434,0,강도,학교
435,1,강도,금융기관
436,3,강도,의료기관
437,0,강도,종교기관
438,1,강도,산야
439,0,강도,해상
440,0,강도,부대
441,0,강도,구금장소
442,0,강도,공지
443,18,강도,기타
444,533,강간.추행,"아파트,연립다세대"
445,552,강간.추행,단독주택
446,2,강간.추행,고속도로
447,946,강간.추행,노상
448,178,강간.추행,상점
449,12,강간.추행,"시장,노점"
450,528,강간.추행,숙박업소목욕탕
451,968,강간.추행,유흥접객업소
452,128,강간.추행,사무실
453,5,강간.추행,공장
454,3,강간.추행,공사장광산
455,0,강간.추행,창고
456,255,강간.추행,"역,대합실"
457,742,강간.추행,지하철
458,224,강간.추행,기타교통수단내
459,14,강간.추행,흥행장
460,54,강간.추행,유원지
461,49,강간.추행,학교
462,3,강간.추행,금융기관
463,70,강간.추행,의료기관
464,18,강간.추행,종교기관
465,2,강간.추행,산야
466,0,강간.추행,해상
467,0,강간.추행,부대
468,0,강간.추행,구금장소
469,0,강간.추행,공지
470,1183,강간.추행,기타
471,2455,절도,"아파트,연립다세대"
472,2163,절도,단독주택
473,0,절도,고속도로
474,10198,절도,노상
475,8464,절도,상점
476,414,절도,"시장,노점"
477,1297,절도,숙박업소목욕탕
478,3481,절도,유흥접객업소
479,626,절도,사무실
480,56,절도,공장
481,218,절도,공사장광산
482,105,절도,창고
483,593,절도,"역,대합실"
484,457,절도,지하철
485,699,절도,기타교통수단내
486,128,절도,흥행장
487,649,절도,유원지
488,363,절도,학교
489,1104,절도,금융기관
490,402,절도,의료기관
491,193,절도,종교기관
492,19,절도,산야
493,0,절도,해상
494,1,절도,부대
495,0,절도,구금장소
496,2,절도,공지
497,8117,절도,기타
498,5979,폭력,"아파트,연립다세대"
499,5994,폭력,단독주택
500,32,폭력,고속도로
501,21089,폭력,노상
502,1427,폭력,상점
503,327,폭력,"시장,노점"
504,558,폭력,숙박업소목욕탕
505,5248,폭력,유흥접객업소
506,1441,폭력,사무실
507,61,폭력,공장
508,174,폭력,공사장광산
509,18,폭력,창고
510,675,폭력,"역,대합실"
511,490,폭력,지하철
512,743,폭력,기타교통수단내
513,47,폭력,흥행장
514,541,폭력,유원지
515,273,폭력,학교
516,91,폭력,금융기관
517,417,폭력,의료기관
518,315,폭력,종교기관
519,14,폭력,산야
520,0,폭력,해상
521,3,폭력,부대
522,5,폭력,구금장소
523,3,폭력,공지
524,8758,폭력,기타
525,32,살인,"아파트,연립다세대"
526,35,살인,단독주택
527,0,살인,고속도로
528,23,살인,노상
529,1,살인,상점
530,0,살인,"시장,노점"
531,4,살인,숙박업소목욕탕
532,7,살인,유흥접객업소
533,7,살인,사무실
534,0,살인,공장
535,0,살인,공사장광산
536,0,살인,창고
537,0,살인,"역,대합실"
538,0,살인,지하철
539,2,살인,기타교통수단내
540,0,살인,흥행장
541,0,살인,유원지
542,0,살인,학교
543,0,살인,금융기관
544,1,살인,의료기관
545,0,살인,종교기관
546,0,살인,산야
547,0,살인,해상
548,0,살인,부대
549,0,살인,구금장소
550,0,살인,공지
551,29,살인,기타
552,11,강도,"아파트,연립다세대"
553,12,강도,단독주택
554,1,강도,고속도로
555,28,강도,노상
