,city_name,city_cnt
0,강릉,1
1,거제,1
2,경산,3
3,경주,3
4,고양,4
5,광명,1
6,광주,12
7,구리,2
8,구미,5
9,군산,2
10,군포,1
11,기타도시,33
12,김천,0
13,김해,2
14,남양주,8
15,논산,2
16,대구,17
17,대전,12
18,도시이외,51
19,목포,1
20,범죄대분류,강력범죄
21,범죄중분류,살인기수
22,부산,21
23,부천,6
24,서산,2
25,서울,56
26,성남,7
27,수원,4
28,순천,4
29,시흥,4
30,아산,3
31,안동,0
32,안산,9
33,안양,0
34,양산,1
35,여수,3
36,용인,4
37,울산,13
38,원주,2
39,의정부,2
40,이천,0
41,익산,4
42,인천,16
43,전주,6
44,정읍,2
45,제주,5
46,제천,1
47,진주,7
48,창원,7
49,천안,6
50,청주,2
51,춘천,1
52,충주,2
53,파주,4
54,평택,1
55,포항,6
56,강릉,3
57,거제,4
58,경산,4
59,경주,5
60,고양,7
61,광명,2
62,광주,7
63,구리,1
64,구미,0
65,군산,3
66,군포,0
67,기타도시,51
68,김천,1
69,김해,5
70,남양주,1
71,논산,4
72,대구,17
73,대전,17
74,도시이외,52
75,목포,3
76,범죄대분류,강력범죄
77,범죄중분류,살인미수등
78,부산,50
79,부천,6
80,서산,5
81,서울,100
82,성남,5
83,수원,12
84,순천,0
85,시흥,8
86,아산,4
87,안동,0
88,안산,3
89,안양,7
90,양산,4
91,여수,1
92,용인,4
93,울산,10
94,원주,4
95,의정부,7
96,이천,4
97,익산,1
98,인천,34
99,전주,3
100,정읍,1
101,제주,13
102,제천,5
103,진주,5
104,창원,14
105,천안,11
106,청주,12
107,춘천,1
108,충주,2
109,파주,6
110,평택,7
111,포항,5
112,강릉,11
113,거제,5
114,경산,4
115,경주,5
116,고양,17
117,광명,12
118,광주,53
119,구리,7
120,구미,20
121,군산,8
122,군포,5
123,기타도시,103
124,김천,3
125,김해,7
126,남양주,15
127,논산,5
128,대구,63
129,대전,82
130,도시이외,81
131,목포,12
132,범죄대분류,강력범죄
133,범죄중분류,강도
134,부산,131
135,부천,24
136,서산,4
137,서울,341
138,성남,28
139,수원,31
140,순천,5
141,시흥,12
142,아산,8
143,안동,0
144,안산,19
145,안양,12
146,양산,9
147,여수,8
148,용인,17
149,울산,32
150,원주,12
151,의정부,13
152,이천,13
153,익산,13
154,인천,111
155,전주,30
156,정읍,4
157,제주,25
158,제천,6
159,진주,7
160,창원,37
161,천안,33
162,청주,32
163,춘천,13
164,충주,4
165,파주,10
166,평택,19
167,포항,5
168,강릉,28
169,거제,26
170,경산,21
171,경주,35
172,고양,43
173,광명,35
174,광주,220
175,구리,22
176,구미,44
177,군산,23
178,군포,24
179,기타도시,392
180,김천,4
181,김해,44
182,남양주,37
183,논산,13
184,대구,219
185,대전,168
186,도시이외,323
187,목포,30
188,범죄대분류,강력범죄
189,범죄중분류,강간
190,부산,399
191,부천,78
192,서산,16
193,서울,1045
194,성남,102
195,수원,131
196,순천,23
197,시흥,41
198,아산,23
199,안동,19
200,안산,74
201,안양,77
202,양산,25
203,여수,24
204,용인,58
205,울산,126
206,원주,51
207,의정부,46
208,이천,15
209,익산,51
210,인천,308
211,전주,57
212,정읍,12
213,제주,73
214,제천,8
215,진주,31
216,창원,99
217,천안,75
218,청주,79
219,춘천,31
220,충주,15
221,파주,36
222,평택,39
223,포항,40
224,강릉,2
225,거제,0
226,경산,0
227,경주,1
228,고양,4
229,광명,2
230,광주,18
231,구리,0
232,구미,4
233,군산,2
234,군포,2
235,기타도시,26
236,김천,1
237,김해,2
238,남양주,1
239,논산,1
240,대구,12
241,대전,10
242,도시이외,20
243,목포,2
244,범죄대분류,강력범죄
245,범죄중분류,유사강간
246,부산,35
247,부천,6
248,서산,1
249,서울,99
250,성남,16
251,수원,11
252,순천,0
253,시흥,5
254,아산,0
255,안동,0
256,안산,7
257,안양,4
258,양산,4
259,여수,1
260,용인,2
261,울산,7
262,원주,0
263,의정부,2
264,이천,1
265,익산,2
266,인천,17
267,전주,3
268,정읍,0
269,제주,9
270,제천,2
271,진주,2
272,창원,5
273,천안,4
274,청주,3
275,춘천,0
276,충주,2
277,파주,3
278,평택,11
279,포항,1
280,강릉,64
281,거제,67
282,경산,59
283,경주,72
284,고양,224
285,광명,64
286,광주,577
287,구리,56
288,구미,59
289,군산,86
290,군포,61
291,기타도시,1000
292,김천,18
293,김해,87
294,남양주,101
295,논산,29
296,대구,675
297,대전,365
298,도시이외,718
299,목포,91
300,범죄대분류,강력범죄
301,범죄중분류,강제추행
302,부산,1035
303,부천,273
304,서산,47
305,서울,4132
306,성남,299
307,수원,395
308,순천,72
309,시흥,81
310,아산,69
311,안동,33
312,안산,190
313,안양,232
314,양산,51
315,여수,56
316,용인,164
317,울산,296
318,원주,93
319,의정부,144
320,이천,44
321,익산,62
322,인천,822
323,전주,164
324,정읍,37
325,제주,198
326,제천,55
327,진주,97
328,창원,181
329,천안,193
330,청주,199
331,춘천,70
332,충주,35
333,파주,84
334,평택,139
335,포항,96
336,강릉,8
337,거제,4
338,경산,6
339,경주,8
340,고양,5
341,광명,5
342,광주,22
343,구리,3
344,구미,5
345,군산,7
346,군포,6
347,기타도시,88
348,김천,1
349,김해,4
350,남양주,1
351,논산,5
352,대구,70
353,대전,29
354,도시이외,93
355,목포,8
356,범죄대분류,강력범죄
357,범죄중분류,기타강간강제추행등
358,부산,80
359,부천,18
360,서산,7
361,서울,181
362,성남,14
363,수원,12
364,순천,2
365,시흥,13
366,아산,5
367,안동,3
368,안산,10
369,안양,10
370,양산,4
371,여수,4
372,용인,19
373,울산,14
374,원주,6
375,의정부,4
376,이천,8
377,익산,9
378,인천,58
379,전주,18
380,정읍,9
381,제주,33
382,제천,4
383,진주,9
384,창원,11
385,천안,13
386,청주,8
387,춘천,3
388,충주,6
389,파주,1
390,평택,7
391,포항,10
392,강릉,11
393,거제,4
394,경산,9
395,경주,13
396,고양,28
397,광명,4
398,광주,44
399,구리,12
400,구미,10
401,군산,15
402,군포,6
403,기타도시,155
404,김천,12
405,김해,13
406,남양주,8
407,논산,8
408,대구,81
409,대전,42
410,도시이외,145
411,목포,7
